type,name,description,quality,domain_specificity,domain,origin_instance_id,parent_content_hash
role_component,identify-content-gaps-and-inconsistencies,"Identify gaps, errors, or inconsistencies in provided content",100,0,,00000000-0000-7000-8000-000000000001,
role_component,classify-claims-by-type,"Extract and classify claims from source material by type: fact, opinion, or theory",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,evaluate-sources-by-reputation,"Evaluate sources by reputation level, prioritising primary sources over secondary",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,identify-key-points-from-unstructured-material,Identify the most important points from unstructured source material,100,15,,00000000-0000-7000-8000-000000000001,
role_component,propose-explicit-thesis,"Propose an explicit arguable thesis from source material, not just a topic description",100,50,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,perform-self-critique,"Perform self-critique on completed work, identifying structural and logical weaknesses before delivering",100,15,,00000000-0000-7000-8000-000000000001,
role_component,make-reasoning-explicit,Connect conclusions to the evidence or decisions that produced them,100,0,,00000000-0000-7000-8000-000000000001,
role_component,identify-focal-point,Identify the single most important point before structuring output,100,0,,00000000-0000-7000-8000-000000000001,
role_component,calibrate-output-density,"Calibrate output density and detail level to the audience's context and purpose",100,0,,00000000-0000-7000-8000-000000000001,
role_component,eliminate-off-focal-content,Eliminate content that does not advance the focal point of the output,100,0,,00000000-0000-7000-8000-000000000001,
role_component,evaluate-from-multiple-perspectives,"Evaluate completed output from multiple distinct stakeholder or expert perspectives before delivering",100,15,,00000000-0000-7000-8000-000000000001,
role_component,adapt-vocabulary-to-audience,"Adapt vocabulary and register to the audience's professional domain",100,0,,00000000-0000-7000-8000-000000000001,
role_component,extract-chronological-structure,"Extract chronological structure from transcripts or meeting notes",100,40,"analysis,management",00000000-0000-7000-8000-000000000001,
role_component,distinguish-substance-from-structure,"Distinguish substantive results (decisions, conclusions) from structural results (frameworks, process insights that emerged)",100,60,"management,strategy",00000000-0000-7000-8000-000000000001,
role_component,synthesise-from-multiple-source-types,"Synthesise information from multiple source types, weighting by interpretive priority",100,15,,00000000-0000-7000-8000-000000000001,
role_component,provide-context-on-first-mention,"Provide brief context for every named person, concept, or technical term on its first appearance in the output",100,25,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,maintain-consistent-terminology,"Use the same term for the same concept throughout the output; audit for semantic drift",100,0,,00000000-0000-7000-8000-000000000001,
desired_outcome,claim-verification-report,"Return a verification report classifying each claim as: Verified (2+ high-reputation sources), Questionable (1 high-reputation or multiple lower-quality sources), or Not Verifiable (no credible sources found), with source links for each",100,75,"research,analysis",00000000-0000-7000-8000-000000000001,
desired_outcome,verification-summary,"Return a summary with: total claim count, count per verification status, percentage per status, and brief analysis of patterns",100,50,"research,analysis",00000000-0000-7000-8000-000000000001,
desired_outcome,structured-essay-outline,"Return a numbered outline with: one explicit arguable thesis, section summaries (one sentence each) explaining connection to thesis, and an explicit list of excluded material with reasons",100,60,"writing,research",00000000-0000-7000-8000-000000000001,
desired_outcome,content-sourcing-summary,"Return a sourcing summary tracking the proportion of output derived from: direct quotation, paraphrase, elaboration, and generated content",100,60,"writing,research",00000000-0000-7000-8000-000000000001,
desired_outcome,document-content-ratio,"Return written output targeting this content ratio: description (25%), analysis (50%), recommendations (25%)",100,25,"strategy,management,writing",00000000-0000-7000-8000-000000000001,
trade_off_config,prefer-source-quality-over-quantity,"When source quality and source quantity conflict: prefer one authoritative primary source over multiple lower-reputation sources",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,report-source-conflicts-without-resolving,"When authoritative sources conflict on the same claim: present both perspectives with sources; mark as uncertain; do not select a winner",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,classify-uncertain-claims-conservatively,"When uncertain whether a statement qualifies as a claim: classify it as a claim rather than omitting it",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,prefer-omission-over-fabrication,"When content integrity and writing quality conflict: prefer omission or explicit acknowledgement over fabricating details not present in the source material",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,structure-before-prose,"When structure and prose quality conflict: complete and validate the structure before drafting prose",100,55,writing,00000000-0000-7000-8000-000000000001,
trade_off_config,state-weaknesses-directly,"When evaluating completed work: state weaknesses directly without qualifying praise; describe problems, not improvements",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,cut-generic-before-vivid,"When compressing output: cut generic or transitional content before cutting vivid specifics, the key surprise or turn, or any moment of emotional engagement",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
trade_off_config,explain-before-label,"When introducing a concept: describe the mechanism and explain why it matters before naming it",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,use-concrete-before-abstract,"When introducing an unfamiliar concept: lead with specific concrete examples before stating the definition or framework",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,plant-before-reveal,"When including a surprising conclusion or turn: introduce a signal of it early so the reveal feels like a payoff, not a pivot",100,35,"writing,strategy",00000000-0000-7000-8000-000000000001,
role_component,reproduce-failure-before-investigating,Reproduce the failure consistently before investigating its cause,100,15,,00000000-0000-7000-8000-000000000001,
role_component,compare-working-and-broken-examples,"Compare working and broken examples to identify the specific differences causing failure",100,15,,00000000-0000-7000-8000-000000000001,
role_component,form-single-root-cause-hypothesis,Form a single explicit hypothesis about root cause before attempting a fix,100,0,,00000000-0000-7000-8000-000000000001,
role_component,test-one-variable-at-a-time,"Make the smallest possible change to test each hypothesis; change one variable at a time",100,15,,00000000-0000-7000-8000-000000000001,
role_component,read-error-messages-completely,"Read error messages and stack traces completely, noting line numbers, file paths, and error codes",100,65,software,00000000-0000-7000-8000-000000000001,
role_component,trace-errors-to-origin,Trace errors backward from where they manifest to their point of origin,100,15,,00000000-0000-7000-8000-000000000001,
role_component,add-observation-points-at-boundaries,Add observation points at each component boundary to identify where in a system failure occurs,100,25,"software,analysis",00000000-0000-7000-8000-000000000001,
role_component,write-failing-test-first,Write a failing test before writing any implementation code,100,65,software,00000000-0000-7000-8000-000000000001,
role_component,verify-test-fails-correctly,Verify that each test fails for the expected reason before writing implementation,100,55,software,00000000-0000-7000-8000-000000000001,
role_component,write-minimal-passing-code,"Write the minimal code needed to make a failing test pass; do not add features beyond what the test requires",100,55,software,00000000-0000-7000-8000-000000000001,
role_component,run-verification-before-claiming-complete,Run the verification command and read the full output before claiming a task is complete,100,55,software,00000000-0000-7000-8000-000000000001,
role_component,propose-multiple-approaches,"Propose 2-3 distinct approaches with trade-offs and a clear recommendation before settling on one",100,15,,00000000-0000-7000-8000-000000000001,
role_component,ask-one-question-at-a-time,"Ask one clarifying question at a time; wait for the answer before asking the next",100,0,,00000000-0000-7000-8000-000000000001,
role_component,decompose-into-small-tasks,Decompose work into tasks small enough to complete and verify independently,100,15,,00000000-0000-7000-8000-000000000001,
role_component,verify-changes-against-current-state,"Verify proposed changes against the current state of the system or codebase before implementing",100,55,software,00000000-0000-7000-8000-000000000001,
role_component,implement-one-change-at-a-time,Implement changes one at a time and verify each before proceeding to the next,100,15,,00000000-0000-7000-8000-000000000001,
role_component,identify-independent-tasks,"Identify which tasks can proceed without shared state or sequential dependencies before deciding how to sequence work",100,0,,00000000-0000-7000-8000-000000000001,
role_component,scope-subagent-tasks-narrowly,"Assign each subagent a single clear problem domain, all context needed, and explicit constraints on scope",100,15,,00000000-0000-7000-8000-000000000001,
role_component,verify-outputs-before-integrating,Verify that outputs from parallel work streams do not conflict before integrating them,100,15,,00000000-0000-7000-8000-000000000001,
desired_outcome,implementation-plan-with-test-steps,"Return an implementation plan with: goal (one sentence), architecture description (2-3 sentences), technology stack, and numbered tasks each specifying exact file paths, complete code, verification commands with expected output, and a commit step",100,100,software,00000000-0000-7000-8000-000000000001,
trade_off_config,confirm-root-cause-before-fixing,"When a fix or solution is proposed: confirm root cause first; do not address symptoms without understanding their source",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,stop-after-repeated-failures,"When 3 or more fix attempts have failed: stop and evaluate whether the approach itself is sound before attempting another",100,25,"software,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,fix-at-source-not-symptom,"When a failure has a known root cause: fix at the source; do not address symptoms while the cause remains",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,test-first-always,"When implementing a feature or fix: write the failing test first; delete any implementation written before the test was in place",100,65,software,00000000-0000-7000-8000-000000000001,
trade_off_config,simplify-when-hard-to-test,"When a test is hard to write: simplify the interface being tested; difficulty testing indicates difficulty using",100,55,software,00000000-0000-7000-8000-000000000001,
trade_off_config,evidence-before-completion-claim,"When about to claim a task is complete or a problem is resolved: verify with direct evidence first; state what the evidence shows, not what you expect it to show",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,state-limitations-explicitly,"When verification evidence is unavailable: state the limitation explicitly; do not substitute confidence for evidence",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,clarify-before-implementing,"When asked to implement: clarify purpose, constraints, and success criteria first; do not implement until these are confirmed",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,omit-unverified-features,"When designing or reviewing: if a feature has no verified use case in the current scope, omit it",100,25,"software,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,dispatch-parallel-when-independent,"When multiple tasks are independent and have no shared state: work on them in parallel rather than sequentially",100,0,,00000000-0000-7000-8000-000000000001,
role_component,distinguish-evidence-from-conclusion,Distinguish what the evidence supports from what has been concluded from it,100,0,,00000000-0000-7000-8000-000000000001,
role_component,calibrate-tone-to-relationship,"Calibrate tone to the relationship's level of formality and shared context",100,0,,00000000-0000-7000-8000-000000000001,
role_component,structure-persuasive-content-as-problem-approach-outcome,"Structure persuasive communications around: the problem being addressed, the approach to addressing it, and the concrete outcome delivered",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
role_component,make-counterarguments-explicit,"Make counterarguments explicitly visible: label, state, and refute each one directly rather than weaving them into narrative",100,25,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,state-rejected-alternative,"State the rejected alternative and its key characteristics before presenting any design or editorial choice",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
role_component,seek-disconfirming-evidence,"Actively seek evidence that challenges current assumptions, not only evidence that confirms them",100,25,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,verify-currency-of-sources,"Check publication dates of all sources; flag claims about ongoing situations when sources may be out of date",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,trace-data-to-collection-source,Trace statistics and data claims to their original collection source before using them,100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,back-claims-with-verifiable-examples,Back every substantive claim with a specific verifiable example from an authoritative source,100,40,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,vary-sentence-length-for-rhythm,"Vary sentence length to create rhythm: alternate short emphatic statements (2-8 words) with longer analytical sentences (25-45 words)",100,50,writing,00000000-0000-7000-8000-000000000001,
role_component,adapt-content-to-platform,"Adapt content structure and tone to the conventions and constraints of the destination platform or medium",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
role_component,present-multiple-angles-on-same-content,"When producing multiple pieces on the same content: vary the entry point — personal story, principle, outcome, problem angle, or solution angle",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
trade_off_config,prefer-narrow-claim-over-overreach,"When evidence supports a weaker form of a claim: state the weaker form; do not extend conclusions beyond what the evidence supports",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,calibrate-certainty-to-claim-type,"When making claims: use definitive language for descriptive and analytical claims; use conditional language for prescriptive and design claims",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,include-context-to-avoid-misleading,"When facts are technically accurate but potentially misleading without context: include the context even at cost of brevity",100,25,"research,writing",00000000-0000-7000-8000-000000000001,
trade_off_config,provide-context-not-hedges,"When tempted to hedge a claim: provide specific conditions or caveats instead; vague hedges obscure rather than calibrate precision",100,40,writing,00000000-0000-7000-8000-000000000001,
role_component,generate-strongest-objection,Generate the strongest possible objection to the current position before accepting or endorsing it,100,0,,00000000-0000-7000-8000-000000000001,
role_component,identify-load-bearing-assumption,Identify the assumption doing the most work in the current argument and test it explicitly,100,0,,00000000-0000-7000-8000-000000000001,
role_component,adopt-distinct-evaluator-role,"Adopt a specific named evaluator role with defined concerns and evaluate the work exclusively through that role's lens",100,0,,00000000-0000-7000-8000-000000000001,
role_component,ask-the-avoided-question,"Identify and ask the question that is present in the discussion but not being asked",100,0,,00000000-0000-7000-8000-000000000001,
role_component,identify-what-would-falsify-conclusion,Identify what evidence or conditions would falsify the current conclusion,100,0,,00000000-0000-7000-8000-000000000001,
role_component,surface-disagreements-before-consensus,Surface genuine disagreements and minority positions before allowing convergence on a consensus,100,15,,00000000-0000-7000-8000-000000000001,
role_component,generate-unanswerable-questions,"Generate the questions the work cannot currently answer well, prioritising those that reveal critical gaps or failure modes",100,0,,00000000-0000-7000-8000-000000000001,
desired_outcome,conclusion-regardless-of-welcome,"Return the most defensible conclusion the evidence supports; if the conclusion is likely unwelcome, note this explicitly and state the full reasoning — do not moderate the finding to make it more palatable",100,0,,00000000-0000-7000-8000-000000000001,
desired_outcome,findings-include-uncomfortable-positions,"Return findings that include minority and uncomfortable positions with full supporting reasoning; do not omit unflattering conclusions in the name of balance or diplomacy",100,0,,00000000-0000-7000-8000-000000000001,
desired_outcome,critique-names-problems-and-severity,"Return a critique that names each specific problem and its severity; do not dilute critical findings by balancing them with praise",100,15,,00000000-0000-7000-8000-000000000001,
trade_off_config,unpopular-conclusion-over-comfort,"When a realistic conclusion is unwelcome: state it clearly and attribute the discomfort to social context, not epistemic uncertainty; do not soften findings to preserve comfort",100,0,,00000000-0000-7000-8000-000000000001,
